overall_hour,national_demand,Eastern Cape_corrected,Limpopo_corrected,Mpumalanga_corrected,Gauteng_corrected,Western Cape_corrected,Northern Cape_corrected,Hydra Central_corrected,Kwazulu Natal_corrected,North West_corrected,Free State_corrected
3824,28515.5409700325,1480.842298186962,2336.113458916093,2795.5483077005943,9037.742421409308,2829.4819702080927,545.9840193778041,145.3067963222443,5516.782642503004,2909.761531795291,917.9775236131072
3825,29760.5945001053,1512.0905827837998,2358.630580546471,2977.749063631363,9493.298131402767,3022.5479938227786,594.0215982179321,103.37635541749728,5690.563974270272,3065.741146837731,942.5750731746878
3826,31022.2177709471,1559.9006700223797,2563.6947269231123,3315.968853928867,9741.608248037634,3204.81216664452,606.9665139060453,54.2924248027598,5862.337396809856,3176.471194444998,936.1655754269314
3827,31083.1561025436,1558.2268036653704,2625.1986910067403,3393.651705093589,9659.664384268252,3155.191596786999,621.140160359618,94.45616466623709,5814.108851066666,3240.980182487319,920.5375631428084
3828,30828.2884735414,1525.1332115614318,2601.782133636964,3356.539585618542,9420.50172841842,3188.665120533542,616.3976020806875,94.5802808060506,5870.171619740713,3265.17755574012,889.3396354049257
3829,29908.0954434372,1481.3995587568809,2568.7885647079743,3269.026388700372,8991.268118107464,3094.7475527665374,588.7619879353317,148.3996332495791,5687.0222111904,3222.663831426489,856.0175965961738
3830,29564.7144059667,1440.4291960584098,2502.709660031106,3276.733854956261,8821.15694542106,3074.239068006338,577.2242864019502,144.4881354579744,5701.308323752159,3176.67767848523,849.7472573962119
3831,29472.2335473639,1451.214678731736,2514.7842420285,3279.284366118594,8757.088441807537,3076.9492989104947,588.7998387103244,135.9898561758483,5724.083320811167,3095.6594544652507,848.3800496044456
3832,29962.9633308113,1507.619171555221,2584.4346997463185,3322.6578219067915,8966.929680340498,3124.0268258501114,613.2903602890915,87.62227488543,5840.64243316141,3050.87117190496,864.8688911714698
3833,30792.1897615675,1548.3025408597068,2662.1261524135525,3374.0529837643144,9168.464603722134,3238.914436822694,728.0373708903464,146.7812420744611,5968.222061363053,3062.049449066588,895.2389205906492
3834,30350.615868475,1560.9814365630468,2654.890752075961,3068.5056441612514,9270.257667364023,3165.1554344911374,716.6621730733609,125.3973894338928,5991.21726457892,2902.4367420628537,895.1113646705546
3835,32181.5860982404,1579.6208680110733,2899.8114255823184,3381.323809718584,9841.700579879773,3408.725528221722,762.3417160039028,144.85779112636243,6126.783470664722,3048.434252946289,987.986656085658
3836,32365.7554149424,1500.5520589067507,2938.702668272114,3615.190721921122,9938.57762068154,3423.951276345218,784.1275245479263,145.7715433059254,5903.739985431902,3113.948352200474,1001.1936633294316
3837,30632.5033730477,1355.6254135773893,2784.05277490546,3541.9044178332388,9396.049246181465,3173.355610536277,775.9547391760667,103.0790239398166,5522.400462501935,3060.969950439336,919.1117339567226
3838,28351.6907903366,1230.421696097623,2537.2525079144284,3353.8225507453017,8657.965937143723,2834.105348178218,746.893030243646,98.2894141387404,4986.331294586157,3064.082202084952,842.5268092038127
3839,25776.5460926298,1108.9643460632808,2379.972116696447,3195.410908677616,7413.480666003051,2491.138529162032,704.3456170123851,105.14260878344608,4630.64943247271,2976.7109834217054,770.7308843371304
3840,23912.5105046174,1096.3700531154425,2230.9992560079168,3046.9539776144948,6549.003404736591,2268.145437833497,662.144417531971,106.12012322790773,4368.707256098604,2874.7464441776438,709.3201342733336
3841,23201.5430519747,1062.541267540152,2212.439460555448,3014.343694988756,6095.360778484705,2178.50296263915,662.3946927891556,99.7822701403836,4323.277949553498,2870.382896537469,682.5170787459813
3842,22870.080260235,1071.629211805055,2174.6638355244336,2934.3297496492187,5994.079551013401,2138.924897122931,624.8427140338644,109.69060694200606,4281.372617999896,2879.4400162221277,661.1070599220664
3843,22671.8755175482,1043.130497270881,2168.361629365718,2836.6282597821123,5999.159859136119,2091.094743793405,642.9803514654346,101.94716291350932,4273.945940722618,2844.0133919559703,670.6136811424374
3844,22897.2969342639,994.5981881487108,2141.939692429174,2818.872499987012,6253.225199930863,2106.1580308685543,599.9375061504322,194.020702416217,4332.358926576496,2780.673349280229,675.512838476215
3845,23974.8721286591,885.2731618484139,2261.9025536339022,2855.3533686817277,6917.366052723956,2249.8491349238952,608.6489039598057,166.99792396044305,4572.423854718929,2740.391763209101,716.6654109989248
3846,26614.4026438287,1137.957719216006,2420.6731162440706,2997.585456317805,7948.474481339919,2529.3913678260983,645.863057513978,181.73622449959157,5115.067939250655,2811.1548974103016,826.4983842102812
3847,28069.6702744112,1493.911795887737,2363.6544980703698,2720.0559108504785,8598.348965578116,2829.077981312789,702.3965990663219,205.8533360351364,5443.005874467904,2804.416705403382,908.9486077389678
